date,num_international,num_national,num_total
2021-10-12,0,0,0
2021-10-13,13,10,23
2021-10-14,13,10,23
2021-10-15,13,10,23
2021-10-16,13,10,23
2021-10-17,13,10,23
2021-10-18,13,10,23
2021-10-19,13,10,23
2021-10-20,13,10,23
2021-10-21,13,10,23
2021-10-22,13,10,23
2021-10-23,13,10,23
2021-10-24,13,10,23
2021-10-25,13,10,23
2021-10-26,13,10,23
2021-10-27,13,10,23
2021-10-28,13,10,23
2021-10-29,13,10,23
2021-10-30,13,10,23
2021-10-31,13,10,23
2021-11-01,13,10,23
2021-11-02,13,10,23
2021-11-03,13,10,23
2021-11-04,13,10,23
2021-11-05,13,10,23
2021-11-06,82,29,111
2021-11-07,259,37,296
2021-11-08,259,37,296
2021-11-09,259,37,296
2021-11-10,260,37,297
2021-11-11,260,37,297
2021-11-12,260,980,1240
2021-11-13,260,994,1254
