,national_qr,international_qr,date_first_detected,date_last_detected
ab94caa77b0a3169558e631419d853b7,,1.0,2021-11-06,2024-06-16
9633ac622c3a2035df9dd39ec947d336,,1.0,2021-11-06,2024-06-16
09de24451167336dc934d1c243d9bb6a,,1.0,2021-11-06,2024-06-16
34cdfd628855e25a3725aa4ec4fa9bda,,1.0,2021-11-06,2024-06-16
a63a48d961a7fbfd29cab36c654b3c62,,1.0,2021-11-06,2024-06-16
8d6795bd9fcb3e0163148cca7df49b0d,,1.0,2021-11-06,2024-06-16
42cb9a744d281f4f87d00dc8fdc7af59,,1.0,2021-11-06,2024-06-16
619f67b2ff5147d86ed7db1bda63ef48,,1.0,2021-11-06,2024-06-16
a70b4d678cbb74f6fa6fb9503d4de645,,1.0,2021-11-06,2024-06-16
48656566540549641b38d6ee1f9a73e2,,1.0,2021-11-06,2024-06-16
fb4973bb87bad48cbc34c2cdb450af95,,1.0,2021-11-06,2024-06-16
f85d00f9882bac270c5d908853873cfa,,1.0,2021-11-06,2024-06-16
f9b1eb8a6de2e69407acb1a1370bf3d6,,1.0,2021-11-06,2024-06-16
faf877acc68fb1d03653c6bd1695574f,,1.0,2021-11-06,2024-06-16
fe34b09ef7ccb6c30d2acb69a15b6e84,,1.0,2021-11-06,2024-06-16
fe42f355d0cef3180741fd33b27911f0,,1.0,2021-11-06,2024-06-16
d14839e48344e7b1d073cc9669e6e62e,,1.0,2021-11-06,2024-06-16
d95e657e0acfd98b2d02f118f824ea30,,1.0,2021-11-06,2024-06-16
df810fba45ccb6f76f8222483d76fbf6,,1.0,2021-11-06,2024-06-16
e1779b403af1e4fe181537fce82fbb5d,,1.0,2021-11-06,2024-06-16
e198c963e4a3bc09311e138c63ba8f76,,1.0,2021-11-06,2024-06-16
e568ba7070c6d900baaa57d069ab0f29,,1.0,2021-11-06,2024-06-16
ebc29cfb707de255570544402490f33e,,1.0,2021-11-06,2024-06-16
ece7fce17f81ad29a7289b7b72d76372,,1.0,2021-11-06,2024-06-16
f75045d10782bd8178ac421eada39a63,,1.0,2021-11-06,2024-06-16
f7c584ec14f7e7d4a8ef164eb5fc2206,,1.0,2021-11-06,2024-06-16
f7d588aac7cc34a97a215a138505d288,,1.0,2021-11-06,2024-06-16
f42a327cf645daf507d1dc520cb4a440,,1.0,2021-11-06,2024-06-16
f4632b17b1b3faea95d34f9f58dc0ab7,,1.0,2021-11-06,2024-06-16
f6175318e46c57400c8e841d237eef53,,1.0,2021-11-06,2024-06-16
038de02f7cd6f57ba4a59fcc3709ec5d,,1.0,2021-11-06,2024-06-16
05b569bdc3f28046950965dee35683de,,1.0,2021-11-06,2024-06-16
05feeab4bba184f892401c4d7dc88e19,,1.0,2021-11-06,2024-06-16
11cb6489bcb549702da5b60ca6078aa4,,1.0,2021-11-06,2024-06-16
290de6e27a276d62785532964eb13722,,1.0,2021-11-06,2024-06-16
296626e11850fab3981ecdbc1ed9e326,,1.0,2021-11-06,2024-06-16
29eda4abc87f5ae4b1970d25d997e77f,,1.0,2021-11-06,2024-06-16
2af7c69065ee739d662098bba6c4e855,,1.0,2021-11-06,2024-06-16
2f9bf74bcc12ff6dbae3b713facc252d,,1.0,2021-11-06,2024-06-16
2c2a0c05c589709ceee5d7306fa0f879,,1.0,2021-11-06,2024-06-16
3e7a94e00ac7c7fa60ce22321229fe45,,1.0,2021-11-06,2024-06-16
44e8d0ffa1c9ad035371b22809a0949e,,1.0,2021-11-06,2024-06-16
4546b7161da1154b2f03b728c0a6d9c6,,1.0,2021-11-06,2024-06-16
4ec5b70ab6c74df397465e6171fdb0ce,,1.0,2021-11-06,2024-06-16
5921906ef6b653c8347655a713944a45,,1.0,2021-11-06,2024-06-16
5dd60b930ded5f6b1799e50aa5f7bdac,,1.0,2021-11-06,2024-06-16
6700c3ca6ad164446eaaad9480a18fc0,,1.0,2021-11-06,2024-06-16
69c63ee0789de571aed0e0f5e853be49,,1.0,2021-11-06,2024-06-16
6d592892b1b641fe462283680cb31e69,,1.0,2021-11-06,2024-06-16
